Criterio,Por qué importa para IA/Analítica,Cómo validarlo en la demo/prueba,Peso (1-5),Sunbird (0-5),Schneider (0-5),Notas Sunbird,Notas Schneider
Integración con clusters IA (GPU/TPU),"Capacidad de integrar métricas de GPUs (utilización, memoria, potencia, temperatura) vía DCGM/NVML, Redfish, Prometheus, o APIs.","Ver si existe conector nativo o, al menos, API/Webhooks para ingerir/exportar métricas. Probar DCGM Exporter + Prometheus y verificar ingestión cruzada.",5,,,,
Telemetría de potencia y térmica (rack/PDUs/servidores),"Granularidad y precisión de potencia (kW, A, 3 fases), temperatura, humedad; soportes SNMP/Modbus/BACnet/Redfish.",Revisar lista de dispositivos soportados. Cargar dispositivos de ejemplo y comprobar lecturas en tiempo real e históricos.,5,,,,
Predicción/anomalías con IA/ML,"Detección proactiva de fallos/alarma-storms, insights accionables, mantenimiento predictivo.","Ver si ofrece analítica/ML out‑of‑the‑box (p.ej., alarm storm reduction, root cause). Generar eventos simulados y evaluar.",4,,,,
Optimización energética y sostenibilidad (PUE/WUE/CUE),"Dashboards nativos de eficiencia y huella; soporte para cálculo/reporting de PUE, WUE, CUE y CO₂.","Buscar widgets/reportes de PUE/WUE/CUE. Cargar datos de facility (UPS, CRAC, medidores) y validar fórmulas.",5,,,,
Planificación de capacidad de alta densidad,"Modelado de potencia/espacio/puertos, balanceo de fases, ‘what‑if’ para racks con GPUs (20–60 kW+).",Crear racks de prueba y simular altas densidades; usar ‘what‑if’ y ver límites/alertas.,5,,,,
Mapas térmicos / CFD / visualización 3D,"Mapas térmicos con time‑lapse, vistas 3D, análisis de hotspots/flujo de aire.",Activar sensores de demo y verificar térmicos/3D; revisar si hay CFD o solo heatmaps.,3,,,,
"APIs/SDK e integraciones (Prometheus, Grafana, ITSM)","REST, Webhooks, export/ingest a Prometheus/Grafana/Kafka/ServiceNow; facilidad de automatización.","Revisar documentación/API; probar una integración (p.ej., export a Prometheus o webhook a Alertmanager).",5,,,,
Seguridad y cumplimiento,"SSO (OIDC/SAML), RBAC granular, auditoría, multi‑tenant/colocation.",Probar SSO si está en demo; revisar matrices de permisos y logs de auditoría.,4,,,,
Despliegue y operación,SaaS vs on‑prem; soporte para entornos air‑gapped; actualizaciones y mantenimiento.,Validar opciones de despliegue y requisitos; probar cliente/agent si existe.,3,,,,
Escalabilidad multinodo/multisite,"Número de racks/dispositivos soportados, latencia y consolidación multi‑sitio.",Revisar límites documentados y casos de referencia; simular múltiples salas/sitios.,4,,,,
"UX, dashboards y movilidad","Calidad de UI, widgets listos, app móvil, personalización de vistas para NOC/ops.",Recorrer dashboards OOTB; evaluar app móvil (si aplica).,3,,,,
Costos/TCO y licenciamiento,"Modelo (SaaS/perpetuo), módulos, coste por rack/dispositivo, servicios/profesional.",Solicitar pricing/quote de prueba; estimar TCO a 3 años con su tamaño de DC.,4,,,,
Soporte/partners/región,"Cobertura de soporte, idioma, SLA, red de integradores locales.",Ver catálogos de partners y tiempos de respuesta; abrir un ticket de prueba si es posible.,2,,,,
